SiO2 (%),Density(g/cm3),Vp (km/s)
63.69 ,2.77 ,6.35 
53.50 ,2.78 ,6.54 
57.64 ,2.96 ,6.54 
57.86 ,2.85 ,6.57 
54.30 ,3.02 ,6.77 
64.21 ,2.77 ,6.47 
59.65 ,3.04 ,6.89 
55.79 ,2.99 ,6.60 
56.55 ,2.96 ,7.10 
57.43 ,3.00 ,6.95 
65.60 ,2.94 ,6.54 
54.60 ,2.78 ,5.81 
61.80 ,2.61 ,6.37 
65.80 ,2.68 ,6.21 
54.40 ,2.74 ,6.42 
53.50 ,2.52 ,5.67 
61.00 ,2.80 ,6.54 
63.01 ,2.82 ,6.58 
64.82 ,2.98 ,6.64 
56.30 ,3.11 ,7.16 
53.32 ,,6.90 
65.86 ,,6.38 
59.84 ,,6.60 
59.73 ,,6.36 
65.40 ,,6.17 
53.96 ,,6.27 
55.31 ,,6.42 
54.23 ,,6.55 
64.60 ,2.85 ,6.38 
65.16 ,2.67 ,6.06 
59.40 ,2.78 ,6.78 
64.10 ,2.74 ,6.24 
61.87 ,2.81 ,6.53 
61.67 ,3.04 ,6.87 
63.01 ,2.82 ,6.51 
64.82 ,2.94 ,6.64 
56.30 ,3.11 ,7.05 
63.17 ,2.78 ,6.34 
53.16 ,2.84 ,6.85 
54.03 ,2.92 ,6.64 
57.67 ,2.98 ,6.72 
54.80 ,2.85 ,6.49 
53.90 ,2.86 ,6.39 
60.70 ,2.78 ,6.29 
56.50 ,2.86 ,6.14 
64.70 ,2.76 ,6.22 
65.70 ,2.79 ,6.32 
63.50 ,2.87 ,6.25 
61.80 ,2.79 ,6.45 
57.90 ,3.03 ,5.96 
54.50 ,2.98 ,6.71 
64.35 ,2.76 ,6.36 
62.09 ,2.73 ,6.35 
63.13 ,2.73 ,6.26 
56.29 ,2.77 ,6.26 
53.60 ,3.00 ,6.92 
72.29 ,2.62 ,6.28 
69.00 ,2.65 ,6.22 
73.00 ,2.63 ,6.52 
72.71 ,2.64 ,6.48 
73.18 ,2.62 ,6.34 
73.13 ,2.62 ,6.39 
71.09 ,2.63 ,6.25 
74.75 ,2.66 ,6.37 
66.90 ,2.77 ,6.60 
78.58 ,2.56 ,5.83 
74.56 ,2.66 ,6.34 
70.67 ,2.68 ,6.66 
69.47 ,2.69 ,6.16 
68.69 ,2.71 ,6.27 
69.56 ,2.69 ,6.35 
72.39 ,2.64 ,6.28 
76.74 ,2.65 ,6.19 
74.67 ,2.64 ,6.28 
76.93 ,2.61 ,6.07 
73.53 ,2.63 ,6.47 
68.81 ,2.71 ,6.37 
71.81 ,2.64 ,6.11 
76.39 ,2.61 ,6.17 
71.55 ,2.70 ,6.08 
74.02 ,2.63 ,6.14 
72.47 ,2.67 ,6.39 
77.20 ,2.64 ,6.35 
73.74 ,2.77 ,6.15 
76.69 ,2.65 ,6.39 
76.27 ,2.65 ,6.50 
76.41 ,2.63 ,6.48 
76.32 ,2.62 ,6.37 
76.75 ,2.61 ,6.38 
76.51 ,2.63 ,6.43 
73.88 ,2.65 ,6.24 
73.84 ,2.66 ,6.12 
75.00 ,2.66 ,6.48 
73.86 ,2.65 ,6.30 
77.00 ,2.62 ,6.37 
77.80 ,2.62 ,6.37 
75.27 ,2.64 ,6.34 
75.69 ,2.64 ,6.34 
67.38 ,2.74 ,5.98 
74.43 ,2.63 ,6.27 
77.97 ,2.63 ,6.44 
76.69 ,2.65 ,6.30 
76.27 ,2.65 ,6.49 
76.41 ,2.63 ,6.48 
76.51 ,2.63 ,6.43 
73.88 ,2.65 ,6.24 
73.84 ,2.66 ,6.15 
75.00 ,2.66 ,6.48 
73.86 ,2.65 ,6.30 
75.50 ,2.67 ,6.44 
74.60 ,2.70 ,6.35 
72.40 ,2.65 ,6.66 
73.70 ,2.68 ,6.26 
74.60 ,2.70 ,6.40 
69.90 ,2.66 ,6.60 
74.20 ,2.70 ,6.54 
70.20 ,2.65 ,6.50 
71.50 ,2.66 ,6.48 
69.60 ,2.68 ,6.58 
74.40 ,2.70 ,6.37 
66.50 ,2.67 ,6.54 
67.20 ,2.72 ,6.51 
67.40 ,2.69 ,6.67 
70.90 ,2.68 ,6.67 
68.40 ,2.65 ,6.58 
74.20 ,2.63 ,6.55 
72.80 ,2.68 ,6.57 
68.30 ,2.62 ,6.55 
66.90 ,2.69 ,6.43 
75.50 ,2.62 ,6.48 
71.60 ,2.64 ,6.44 
67.40 ,2.71 ,6.64 
69.30 ,2.65 ,6.51 
73.30 ,2.66 ,6.49 
70.00 ,2.66 ,6.53 
72.51 ,2.81 ,6.28 
69.70 ,2.72 ,6.53 
70.01 ,2.73 ,6.63 
68.71 ,2.74 ,6.54 
68.42 ,2.79 ,6.55 
70.31 ,2.73 ,6.65 
68.90 ,2.76 ,6.56 
68.01 ,2.77 ,6.50 
66.15 ,2.76 ,6.42 
67.92 ,2.80 ,6.36 
68.94 ,2.75 ,6.47 
77.84 ,2.75 ,6.48 
70.25 ,2.74 ,6.54 
70.73 ,2.74 ,6.53 
71.65 ,2.70 ,6.54 
67.40 ,2.74 ,6.40 
69.88 ,2.73 ,6.28 
70.49 ,2.62 ,6.25 
71.86 ,2.74 ,6.35 
73.58 ,2.68 ,6.19 
66.60 ,2.73 ,6.27 
76.74 ,2.61 ,6.28 
66.28 ,2.71 ,6.05 
72.98 ,2.60 ,6.41 
68.20 ,2.68 ,6.55 
67.87 ,2.67 ,6.21 
70.97 ,2.65 ,6.10 
77.49 ,2.67 ,6.21 
75.58 ,2.65 ,6.02 
76.38 ,2.66 ,6.24 
67.94 ,2.68 ,6.26 
71.60 ,2.57 ,6.18 
75.10 ,2.97 ,6.67 
66.91 ,2.86 ,6.50 
67.25 ,,6.39 
73.22 ,,6.21 
72.80 ,,6.18 
72.96 ,,6.27 
69.94 ,,6.53 
70.63 ,,6.15 
66.52 ,,6.31 
71.75 ,2.58 ,5.61 
71.33 ,2.65 ,6.30 
71.61 ,2.64 ,6.30 
70.03 ,2.68 ,6.26 
70.92 ,2.68 ,6.18 
70.37 ,2.68 ,6.25 
66.91 ,2.86 ,6.55 
71.52 ,2.72 ,6.00 
72.43 ,2.73 ,6.21 
74.64 ,2.65 ,5.90 
73.40 ,2.65 ,6.09 
71.00 ,2.74 ,6.25 
68.70 ,2.77 ,6.37 
79.64 ,2.68 ,6.00 
